ACARA ID,School Name,Suburb,Postcode,Type,Geolocation,Latitude,Longitude,BE Score,School Sector,Campus Type,Governing Body,ICSEA,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English (%),State,cites/town,ICSEA Ratio
40987,Abbotsford Public School,Abbotsford,2046,Primary,Major Cities,-33.8527,151.131,93,Government,School Single Entity,Department of Education NSW,1108.0,6.0,15.0,30.0,49.0,29.0,31.0,7.0,4.3,567.0,286.0,281.0,567.0,1.0,45.0,NSW,Sydney,Average
40275,Saint Mary MacKillop College Albury,Jindera,2642,Combined,Inner Regional,-35.9029,146.827,95,Independent,School Single Entity,Association of Independent Schools of New South Wales,1077.0,11.0,20.0,35.0,34.0,19.0,14.1,10.0,5.4,182.0,101.0,81.0,182.0,0.0,11.0,NSW,Sydney,Average
40276,St Dominic Savio School,Rockdale,2216,Primary,Major Cities,-33.951,151.15,,Independent,School Single Entity,Association of Independent Schools of New South Wales,1048.0,21.0,23.0,36.0,21.0,3.0,3.0,1.0,0.4,24.0,10.0,14.0,24.0,0.0,70.0,NSW,None,Average
41852,Aberdeen Public School,Aberdeen,2336,Primary,Inner Regional,-32.1661,150.888,71,Government,School Single Entity,Department of Education NSW,907.0,67.0,26.0,6.0,0.0,12.0,12.7,4.0,2.4,194.0,88.0,106.0,194.0,14.0,6.0,NSW,Sydney,Higher 
40277,Saint Mary MacKillop Colleges Limited,Wagga Wagga,2650,Combined,Inner Regional,-35.129,147.348,,Independent,School Single Entity,Association of Independent Schools of New South Wales,1092.0,10.0,13.0,35.0,42.0,17.0,12.5,3.0,1.6,136.0,64.0,72.0,136.0,0.0,39.0,NSW,Aberdeen,Average
41853,Abermain Public School,Abermain,2326,Primary,Major Cities,-32.8089,151.426,70,Government,School Single Entity,Department of Education NSW,899.0,67.0,26.0,6.0,2.0,13.0,15.5,6.0,2.7,279.0,141.0,138.0,279.0,22.0,2.0,NSW,Wagga Wagga City Council,Higher 
40366,Kinma School,Terrey Hills,2084,Primary,Major Cities,-33.6866,151.217,,Independent,School Single Entity,Association of Independent Schools of New South Wales,1135.0,1.0,8.0,28.0,62.0,10.0,8.3,5.0,2.9,90.0,45.0,45.0,90.0,0.0,2.0,NSW,None,Average
42715,Adaminaby Public School,Adaminaby,2629,Primary,Outer Regional,-35.9933,148.777,,Government,School Single Entity,Department of Education NSW,980.0,32.0,41.0,24.0,3.0,1.0,1.3,2.0,1.0,19.0,7.0,12.0,19.0,5.0,0.0,NSW,Sydney,Higher 
40367,Knox Grammar School,Wahroonga,2076,Combined,Major Cities,-33.7231,151.119,100,Independent,School Head Campus,Association of Independent Schools of New South Wales,1170.0,1.0,4.0,17.0,78.0,303.0,285.3,366.0,219.6,3030.0,77.0,2953.0,3030.0,0.0,30.0,NSW,None,Average
41854,Adamstown Public School,Adamstown,2289,Primary,Major Cities,-32.9322,151.731,84,Government,School Single Entity,Department of Education NSW,1040.0,18.0,24.0,28.0,30.0,14.0,15.3,5.0,2.5,290.0,140.0,150.0,290.0,11.0,13.0,NSW,Sydney,Average
40369,Moriah College,Bondi Junction,2022,Combined,Major Cities,-33.8994,151.245,97,Independent,School Single Entity,Association of Independent Schools of New South Wales,1135.0,3.0,8.0,26.0,63.0,174.0,161.9,101.0,66.4,1449.0,706.0,743.0,1449.0,0.0,7.0,NSW,Newcastle-Maitland,Average
42530,Adelong Public School,Adelong,2729,Primary,Inner Regional,-35.3123,148.063,79,Government,School Single Entity,Department of Education NSW,946.0,56.0,33.0,8.0,3.0,3.0,3.8,2.0,1.5,65.0,37.0,28.0,65.0,5.0,0.0,NSW,Sydney,Higher 
40374,Holy Spirit Infants School,Abermain,2326,Primary,Major Cities,-32.8109,151.443,,Catholic,School Single Entity,Catholic Schools NSW,995.0,28.0,32.0,29.0,11.0,11.0,8.2,13.0,6.0,148.0,75.0,73.0,148.0,11.0,13.0,NSW,Adelong,Higher 
42326,Afterlee Public School,Afterlee,2474,Primary,Inner Regional,-28.5823,152.818,,Government,School Single Entity,Department of Education NSW,953.0,66.0,20.0,10.0,4.0,2.0,1.3,2.0,1.2,10.0,6.0,4.0,10.0,0.0,0.0,NSW,None,Higher 
40375,St Joseph's Catholic Primary School Como - Oyster Bay,Como,2226,Primary,Major Cities,-34.0093,151.073,,Catholic,School Single Entity,Catholic Schools NSW,1131.0,2.0,11.0,32.0,55.0,28.0,21.8,13.0,6.9,443.0,222.0,221.0,443.0,1.0,12.0,NSW,None,Average
40378,St Therese's Community Parish School,Wilcannia,2836,Primary,Very Remote,-31.5591,143.379,,Catholic,School Single Entity,Catholic Schools NSW,804.0,56.0,24.0,11.0,8.0,5.0,5.0,7.0,5.1,27.0,13.0,14.0,27.0,78.0,11.0,NSW,Sydney,Higher 
40381,Highfields Preparatory and Kindergarten School,Lindfield,2070,Primary,Major Cities,-33.775,151.164,,Independent,School Single Entity,Association of Independent Schools of New South Wales,1166.0,1.0,3.0,17.0,80.0,13.0,10.4,5.0,4.1,87.0,45.0,42.0,87.0,0.0,51.0,NSW,Wilcannia,Average
42339,Albert Park Public School,East Lismore,2480,Primary,Inner Regional,-28.8216,153.272,69,Government,School Single Entity,Department of Education NSW,898.0,56.0,20.0,18.0,7.0,6.0,8.2,5.0,3.4,97.0,36.0,61.0,97.0,32.0,5.0,NSW,Sydney,Higher 
40384,Coffs Harbour Christian Community School,Bonville,2450,Combined,Inner Regional,-30.3782,153.057,,Independent,School Head Campus,Association of Independent Schools of New South Wales,1038.0,20.0,27.0,31.0,22.0,62.0,59.0,57.0,52.1,886.0,458.0,428.0,886.0,2.0,12.0,NSW,East Lismore,Average
42716,Albion Park Public School,Albion Park,2527,Primary,Major Cities,-34.5703,150.773,79,Government,School Single Entity,Department of Education NSW,975.0,43.0,34.0,17.0,6.0,27.0,30.1,10.0,7.6,487.0,229.0,258.0,487.0,6.0,6.0,NSW,Coffs Harbour,Higher 
40408,Tangara School for Girls,Cherrybrook,2126,Combined,Major Cities,-33.7364,151.036,99,Independent,School Single Entity,Association of Independent Schools of New South Wales,1135.0,3.0,12.0,25.0,60.0,69.0,53.8,21.0,11.4,616.0,560.0,56.0,616.0,0.0,32.0,NSW,Albion Park,Average
42861,Albion Park Rail Public School,Albion Park,2527,Primary,Major Cities,-34.5676,150.799,70,Government,School Single Entity,Department of Education NSW,898.0,63.0,27.0,9.0,1.0,22.0,27.0,10.0,7.8,364.0,167.0,197.0,364.0,22.0,8.0,NSW,Sydney,Higher 
40409,Heritage Christian School,Port Macquarie,2444,Combined,Inner Regional,-31.4303,152.882,75,Independent,School Single Entity,Association of Independent Schools of New South Wales,995.0,27.0,33.0,27.0,13.0,41.0,34.4,28.0,21.0,370.0,179.0,191.0,370.0,11.0,2.0,NSW,Albion Park Rail,Higher 
42654,Albury North Public School,Albury,2640,Primary,Inner Regional,-36.0642,146.932,69,Government,School Single Entity,Department of Education NSW,878.0,74.0,17.0,7.0,1.0,22.0,22.5,6.0,4.7,247.0,116.0,131.0,247.0,17.0,18.0,NSW,Port Macquarie,Higher 
42531,Albury Public School,Albury,2640,Primary,Inner Regional,-36.0825,146.919,85,Government,School Single Entity,Department of Education NSW,1049.0,16.0,24.0,34.0,27.0,30.0,34.3,5.0,4.1,630.0,308.0,322.0,630.0,4.0,10.0,NSW,Albury,Average
42532,Albury West Public School,Albury,2640,Primary,Inner Regional,-36.0778,146.896,69,Government,School Single Entity,Department of Education NSW,867.0,67.0,18.0,9.0,6.0,11.0,13.2,4.0,1.9,141.0,76.0,65.0,141.0,28.0,6.0,NSW,Albury,Higher 
42356,Aldavilla Public School,Yarravel,2440,Primary,Inner Regional,-31.0558,152.787,74,Government,School Single Entity,Department of Education NSW,919.0,50.0,33.0,13.0,4.0,14.0,16.9,15.0,2.9,305.0,154.0,151.0,305.0,27.0,3.0,NSW,Albury,Higher 
42998,Ivanhoe Central School,Ivanhoe,2878,Combined,Very Remote,-32.8985,144.301,,Government,School Single Entity,Department of Education NSW,775.0,77.0,11.0,10.0,2.0,7.0,7.9,6.0,4.1,25.0,13.0,12.0,25.0,60.0,4.0,NSW,None,Lower
41115,Alfords Point Public School,Alfords Point,2234,Primary,Major Cities,-33.9924,151.024,87,Government,School Single Entity,Department of Education NSW,1061.0,12.0,28.0,33.0,27.0,11.0,12.8,4.0,2.4,219.0,105.0,114.0,219.0,2.0,52.0,NSW,Ivanhoe,Average
40452,Tallowood Steiner School,Bowraville,2449,Primary,Outer Regional,-30.6343,152.856,,Independent,School Single Entity,Association of Independent Schools of New South Wales,1015.0,22.0,23.0,29.0,27.0,7.0,5.0,5.0,2.2,57.0,25.0,32.0,57.0,18.0,0.0,NSW,Sydney,Average
43404,All Hallows Catholic Primary School,Five Dock,2046,Primary,Major Cities,-33.8609,151.134,93,Catholic,School Single Entity,Catholic Schools NSW,1106.0,4.0,17.0,33.0,46.0,32.0,24.7,11.0,3.6,457.0,261.0,196.0,457.0,0.0,42.0,NSW,Bowraville,Average
40492,Australia Street Infants School,Newtown,2042,Primary,Major Cities,-33.8958,151.178,,Government,School Single Entity,Department of Education NSW,1124.0,2.0,7.0,30.0,61.0,7.0,9.5,5.0,3.8,99.0,45.0,54.0,99.0,1.0,19.0,NSW,Sydney,Average
40493,Russell Lea Public School,Russell Lea,2046,Primary,Major Cities,-33.8614,151.143,,Government,School Single Entity,Department of Education NSW,1140.0,2.0,8.0,29.0,61.0,13.0,14.4,1.0,2.5,258.0,143.0,115.0,258.0,0.0,31.0,NSW,Sydney,Average
41281,Allambie Heights Public School,Allambie Heights,2100,Primary,Major Cities,-33.7658,151.252,95,Government,School Single Entity,Department of Education NSW,1121.0,2.0,13.0,31.0,54.0,23.0,28.8,5.0,4.1,555.0,247.0,308.0,555.0,1.0,16.0,NSW,Sydney,Average
40494,Taverners Hill Infants School,Petersham,2049,Primary,Major Cities,-33.889,151.157,,Government,School Single Entity,Department of Education NSW,1115.0,2.0,11.0,32.0,55.0,4.0,4.0,2.0,1.5,61.0,22.0,39.0,61.0,3.0,25.0,NSW,Sydney,Average
42940,Alma Public School,Broken Hill,2880,Primary,Outer Regional,-31.9822,141.462,71,Government,School Single Entity,Department of Education NSW,863.0,69.0,20.0,9.0,2.0,24.0,21.6,7.0,6.5,265.0,121.0,144.0,265.0,34.0,2.0,NSW,Sydney,Higher 
42138,Alstonville Public School,Alstonville,2477,Primary,Inner Regional,-28.8385,153.438,75,Government,School Single Entity,Department of Education NSW,1004.0,30.0,28.0,24.0,18.0,20.0,22.7,3.0,3.1,407.0,192.0,215.0,407.0,9.0,6.0,NSW,Broken Hill,Average
40499,Yeo Park Infants School,Ashfield,2131,Primary,Major Cities,-33.9025,151.13,,Government,School Single Entity,Department of Education NSW,1114.0,0.0,9.0,35.0,55.0,3.0,3.7,2.0,1.4,53.0,24.0,29.0,53.0,6.0,42.0,NSW,Alstonville,Average
41498,Ambarvale Public School,Ambarvale,2560,Primary,Major Cities,-34.0864,150.798,70,Government,School Single Entity,Department of Education NSW,911.0,62.0,25.0,9.0,3.0,15.0,21.7,6.0,6.9,328.0,162.0,166.0,328.0,15.0,35.0,NSW,Sydney,Higher 
41855,Anna Bay Public School,Anna Bay,2316,Primary,Inner Regional,-32.7764,152.09,75,Government,School Single Entity,Department of Education NSW,963.0,43.0,34.0,17.0,7.0,18.0,20.0,5.0,3.9,346.0,158.0,188.0,346.0,10.0,6.0,NSW,Sydney,Higher 
40513,Sefton Infants School,Sefton,2162,Primary,Major Cities,-33.8892,151.01,,Government,School Single Entity,Department of Education NSW,1028.0,23.0,32.0,27.0,18.0,8.0,10.5,6.0,3.0,103.0,55.0,48.0,103.0,0.0,99.0,NSW,None,Average
40989,Annandale North Public School,Annandale,2038,Primary,Major Cities,-33.8779,151.172,95,Government,School Single Entity,Department of Education NSW,1148.0,2.0,6.0,22.0,70.0,17.0,20.5,4.0,3.1,402.0,206.0,196.0,402.0,3.0,22.0,NSW,Sydney,Average
40522,Mount Lewis Infants School,Greenacre,2190,Primary,Major Cities,-33.9161,151.05,,Government,School Single Entity,Department of Education NSW,1020.0,27.0,29.0,28.0,16.0,11.0,15.3,2.0,2.0,185.0,75.0,110.0,185.0,1.0,96.0,NSW,Sydney,Average
40988,Annandale Public School,Annandale,2038,Primary,Major Cities,-33.8858,151.17,86,Government,School Single Entity,Department of Education NSW,1115.0,5.0,10.0,28.0,57.0,25.0,28.5,8.0,6.4,402.0,180.0,222.0,402.0,2.0,32.0,NSW,Sydney,Average
40523,Bankstown South Infants School,Bankstown,2200,Primary,Major Cities,-33.9312,151.038,,Government,School Single Entity,Department of Education NSW,984.0,42.0,35.0,17.0,7.0,8.0,10.8,7.0,3.5,117.0,58.0,59.0,117.0,0.0,98.0,NSW,Sydney,Higher 
41247,Annangrove Public School,Annangrove,2156,Primary,Major Cities,-33.6674,150.953,99,Government,School Single Entity,Department of Education NSW,1097.0,7.0,24.0,30.0,39.0,6.0,5.8,2.0,1.8,108.0,46.0,62.0,108.0,0.0,32.0,NSW,Sydney,Average
40524,Arncliffe West Infants School,Arncliffe,2205,Primary,Major Cities,-33.9318,151.145,,Government,School Single Entity,Department of Education NSW,1046.0,15.0,23.0,45.0,18.0,8.0,13.5,2.0,3.2,148.0,77.0,71.0,148.0,0.0,95.0,NSW,Sydney,Average
40525,Bardwell Park Infants School,Bardwell Park,2207,Primary,Major Cities,-33.9335,151.125,,Government,School Single Entity,Department of Education NSW,1081.0,10.0,23.0,27.0,39.0,3.0,2.6,1.0,0.9,30.0,7.0,23.0,30.0,0.0,63.0,NSW,Sydney,Average
41354,Appin Public School,Appin,2560,Primary,Inner Regional,-34.1984,150.788,81,Government,School Single Entity,Department of Education NSW,987.0,35.0,38.0,20.0,8.0,17.0,17.4,3.0,2.8,323.0,145.0,178.0,323.0,5.0,9.0,NSW,Sydney,Higher 
40526,Hurstville Grove Infants School,Penshurst,2222,Primary,Major Cities,-33.9731,151.091,,Government,School Single Entity,Department of Education NSW,1075.0,12.0,22.0,31.0,36.0,3.0,4.7,1.0,1.4,79.0,38.0,41.0,79.0,1.0,59.0,NSW,Appin,Average
41194,Arcadia Public School,Arcadia,2159,Primary,Inner Regional,-33.6235,151.051,91,Government,School Single Entity,Department of Education NSW,1064.0,10.0,25.0,38.0,27.0,4.0,4.9,2.0,1.4,89.0,45.0,44.0,89.0,2.0,27.0,NSW,Sydney,Average
42019,Arcadia Vale Public School,Arcadia Vale,2283,Primary,Major Cities,-33.0602,151.582,87,Government,School Single Entity,Department of Education NSW,980.0,36.0,34.0,21.0,9.0,4.0,6.2,2.0,1.6,103.0,48.0,55.0,103.0,11.0,8.0,NSW,Sydney,Higher 
40532,New Lambton Heights Infants School,New Lambton Heights,2305,Primary,Major Cities,-32.9349,151.688,,Government,School Single Entity,Department of Education NSW,1100.0,7.0,15.0,29.0,48.0,4.0,4.8,3.0,1.4,77.0,36.0,41.0,77.0,1.0,18.0,NSW,Newcastle-Maitland,Average
42986,Goodooga Central School,Goodooga,2838,Combined,Very Remote,-29.1159,147.456,,Government,School Single Entity,Department of Education NSW,714.0,83.0,15.0,3.0,0.0,8.0,8.0,13.0,4.8,41.0,20.0,21.0,40.8,95.0,98.0,NSW,Newcastle-Maitland,Lower
40533,Nillo Infants School,Lorn,2320,Primary,Major Cities,-32.7275,151.56,,Government,School Single Entity,Department of Education NSW,1059.0,11.0,23.0,32.0,35.0,3.0,3.8,2.0,1.4,53.0,25.0,28.0,53.0,9.0,13.0,NSW,None,Average
42001,Argenton Public School,Argenton,2284,Primary,Major Cities,-32.9385,151.63,,Government,School Single Entity,Department of Education NSW,942.0,52.0,36.0,11.0,1.0,2.0,2.6,2.0,0.9,29.0,12.0,17.0,29.0,7.0,17.0,NSW,Newcastle-Maitland,Higher 
40543,Stanford Merthyr Infants School,Stanford Merthyr,2327,Primary,Major Cities,-32.8234,151.495,,Government,School Single Entity,Department of Education NSW,922.0,52.0,28.0,16.0,5.0,4.0,5.1,4.0,1.4,81.0,37.0,44.0,81.0,25.0,2.0,NSW,Newcastle-Maitland,Higher 
42214,Lord Howe Island Central School,Lord Howe Island,2898,Combined,Very Remote,-31.5304,149.069,,Government,School Single Entity,Department of Education NSW,1049.0,13.0,24.0,33.0,31.0,3.0,3.5,1.0,0.9,42.0,21.0,21.0,42.0,5.0,28.0,NSW,None,Average
40545,Glen Innes West Infants School,Glen Innes,2370,Primary,Outer Regional,-29.7387,151.724,,Government,School Single Entity,Department of Education NSW,871.0,64.0,20.0,13.0,3.0,3.0,2.8,2.0,0.9,35.0,15.0,20.0,35.0,40.0,12.0,NSW,None,Higher 
40556,Cabramurra Public School,Cabramurra,2629,Primary,Outer Regional,-35.9316,148.379,,Government,School Single Entity,Department of Education NSW,,,,,,1.0,1.3,2.0,0.9,2.0,1.0,1.0,2.0,0.0,0.0,NSW,Glen Innes,Higher 
42410,Armidale City Public School,Armidale,2350,Primary,Inner Regional,-30.5195,151.664,79,Government,School Single Entity,Department of Education NSW,1007.0,28.0,21.0,24.0,27.0,21.0,23.9,6.0,4.3,418.0,203.0,215.0,418.0,15.0,28.0,NSW,None,Average
40559,Narrandera East Infants School,Narrandera,2700,Primary,Outer Regional,-34.7502,146.565,,Government,School Single Entity,Department of Education NSW,939.0,44.0,34.0,13.0,9.0,3.0,4.7,3.0,1.4,67.0,27.0,40.0,67.0,22.0,3.0,NSW,Armidale,Higher 
41129,Arncliffe Public School,Arncliffe,2205,Primary,Major Cities,-33.9405,151.146,86,Government,School Single Entity,Department of Education NSW,1041.0,19.0,31.0,28.0,22.0,22.0,25.2,4.0,3.1,410.0,179.0,231.0,410.0,1.0,71.0,NSW,Narrandera,Average
40560,Jugiong Public School,Jugiong,2726,Primary,Outer Regional,-34.7928,148.308,,Government,School Single Entity,Department of Education NSW,1028.0,24.0,31.0,23.0,22.0,1.0,1.7,2.0,0.9,19.0,10.0,9.0,19.0,0.0,5.0,NSW,Sydney,Average
40569,Sofala Public School,Sofala,2795,Primary,Inner Regional,-33.0822,149.695,,Government,School Single Entity,Department of Education NSW,607.0,96.0,4.0,0.0,0.0,1.0,1.5,2.0,0.9,9.0,3.0,6.0,9.0,56.0,0.0,NSW,Jugiong,Lower
40573,Goolma Public School,Goolma,2852,Primary,Outer Regional,-32.3688,149.269,,Government,School Single Entity,Department of Education NSW,874.0,77.0,14.0,9.0,0.0,1.0,1.3,2.0,0.7,6.0,1.0,5.0,6.0,17.0,0.0,NSW,None,Higher 
41195,Artarmon Public School,Artarmon,2064,Primary,Major Cities,-33.8112,151.186,100,Government,School Single Entity,Department of Education NSW,1177.0,1.0,5.0,17.0,77.0,58.0,64.4,7.0,7.1,1248.0,583.0,665.0,1248.0,0.0,83.0,NSW,None,Average
40990,Ashbury Public School,Ashbury,2193,Primary,Major Cities,-33.8988,151.119,94,Government,School Single Entity,Department of Education NSW,1122.0,5.0,12.0,25.0,57.0,20.0,19.1,4.0,2.9,370.0,177.0,193.0,370.0,1.0,42.0,NSW,Sydney,Average
41477,Ashcroft Public School,Ashcroft,2168,Primary,Major Cities,-33.9164,150.898,68,Government,School Single Entity,Department of Education NSW,881.0,72.0,19.0,8.0,1.0,16.0,20.3,8.0,3.7,256.0,127.0,129.0,256.0,13.0,70.0,NSW,Sydney,Higher 
40991,Ashfield Public School,Ashfield,2131,Primary,Major Cities,-33.8897,151.128,97,Government,School Single Entity,Department of Education NSW,1104.0,8.0,17.0,29.0,47.0,28.0,29.5,5.0,6.8,481.0,230.0,251.0,481.0,2.0,74.0,NSW,Sydney,Average
42533,Ardlethan Central School,Ardlethan,2665,Combined,Outer Regional,-34.3541,146.901,,Government,School Single Entity,Department of Education NSW,939.0,62.0,23.0,11.0,4.0,10.0,10.0,5.0,3.5,51.0,24.0,27.0,51.0,6.0,0.0,NSW,Sydney,Higher 
42671,Ashmont Public School,Wagga Wagga,2650,Primary,Inner Regional,-35.1245,147.333,69,Government,School Single Entity,Department of Education NSW,776.0,86.0,10.0,4.0,1.0,15.0,17.7,4.0,3.5,245.0,123.0,122.0,245.0,53.0,7.0,NSW,Ardlethan,Lower
42072,Ashtonfield Public School,Ashtonfield,2323,Primary,Major Cities,-32.7724,151.601,84,Government,School Single Entity,Department of Education NSW,1003.0,26.0,35.0,28.0,11.0,31.0,33.2,5.0,4.1,600.0,302.0,298.0,600.0,8.0,11.0,NSW,Wagga Wagga City Council,Average
41196,Asquith Public School,Asquith,2077,Primary,Major Cities,-33.6857,151.112,92,Government,School Single Entity,Department of Education NSW,1095.0,7.0,16.0,33.0,44.0,21.0,26.6,8.0,6.2,452.0,219.0,233.0,452.0,2.0,48.0,NSW,Newcastle-Maitland,Average
41059,Athelstane Public School,Arncliffe,2205,Primary,Major Cities,-33.9374,151.138,78,Government,School Single Entity,Department of Education NSW,988.0,39.0,29.0,22.0,9.0,23.0,26.2,8.0,6.9,346.0,164.0,182.0,346.0,1.0,90.0,NSW,Sydney,Higher 
42413,Attunga Public School,Attunga,2345,Primary,Outer Regional,-30.9304,150.847,,Government,School Single Entity,Department of Education NSW,887.0,73.0,13.0,12.0,2.0,2.0,2.6,2.0,0.9,33.0,16.0,17.0,33.0,24.0,0.0,NSW,Sydney,Higher 
41355,Auburn North Public School,Auburn,2144,Primary,Major Cities,-33.8417,151.039,89,Government,School Single Entity,Department of Education NSW,987.0,41.0,24.0,23.0,13.0,39.0,45.2,6.0,4.3,679.0,337.0,342.0,679.0,0.0,98.0,NSW,Attunga,Higher 
41551,Auburn Public School,Auburn,2144,Primary,Major Cities,-33.854,151.033,72,Government,School Single Entity,Department of Education NSW,953.0,51.0,23.0,18.0,8.0,39.0,42.6,10.0,8.2,517.0,245.0,272.0,517.0,1.0,98.0,NSW,Sydney,Higher 
41356,Auburn West Public School,Auburn,2144,Primary,Major Cities,-33.8609,151.02,68,Government,School Single Entity,Department of Education NSW,909.0,72.0,19.0,8.0,1.0,44.0,45.1,8.0,4.1,604.0,314.0,290.0,604.0,0.0,98.0,NSW,Sydney,Higher 
42718,Austinmer Public School,Austinmer,2515,Primary,Major Cities,-34.3054,150.935,96,Government,School Single Entity,Department of Education NSW,1119.0,4.0,13.0,30.0,54.0,14.0,16.1,3.0,2.8,309.0,149.0,160.0,309.0,2.0,10.0,NSW,Sydney,Average
40651,Kyeemagh Public School,Rockdale,2216,Primary,Major Cities,-33.9491,151.162,,Government,School Single Entity,Department of Education NSW,1076.0,12.0,19.0,36.0,33.0,2.0,4.8,2.0,1.4,71.0,37.0,34.0,71.0,0.0,61.0,NSW,Wollongong City Council,Average
41357,Austral Public School,Austral,2179,Primary,Major Cities,-33.9345,150.813,72,Government,School Single Entity,Department of Education NSW,961.0,50.0,28.0,16.0,6.0,18.0,16.8,3.0,2.6,286.0,162.0,124.0,286.0,5.0,55.0,NSW,Sydney,Higher 
41251,Avalon Public School,Avalon Beach,2107,Primary,Major Cities,-33.6396,151.327,92,Government,School Single Entity,Department of Education NSW,1096.0,5.0,18.0,37.0,40.0,37.0,46.1,8.0,5.9,914.0,461.0,453.0,914.0,0.0,11.0,NSW,Sydney,Average
41856,Avoca Beach Public School,Avoca Beach,2251,Primary,Major Cities,-33.4712,151.431,91,Government,School Single Entity,Department of Education NSW,1085.0,7.0,20.0,33.0,40.0,25.0,24.6,3.0,3.8,465.0,208.0,257.0,465.0,4.0,10.0,NSW,Sydney,Average
42719,Avoca Public School,Avoca,2577,Primary,Inner Regional,-34.5923,150.48,,Government,School Single Entity,Department of Education NSW,1026.0,20.0,38.0,25.0,16.0,3.0,1.3,1.0,0.9,11.0,7.0,4.0,11.0,0.0,0.0,NSW,Gosford,Average
40697,Barrenjoey Montessori School,Avalon,2107,Primary,Major Cities,-33.6312,151.334,,Independent,School Single Entity,Association of Independent Schools of New South Wales,1162.0,0.0,2.0,27.0,71.0,6.0,5.2,8.0,5.0,59.0,26.0,33.0,59.0,0.0,24.0,NSW,None,Average
41857,Awaba Public School,Awaba,2283,Primary,Major Cities,-33.0106,151.538,78,Government,School Single Entity,Department of Education NSW,965.0,47.0,33.0,17.0,3.0,2.0,2.6,2.0,0.9,37.0,14.0,23.0,37.0,8.0,10.0,NSW,Sydney,Higher 
42868,Balarang Public School,Oak Flats,2529,Primary,Major Cities,-34.5598,150.831,73,Government,School Single Entity,Department of Education NSW,950.0,48.0,33.0,15.0,5.0,13.0,15.3,4.0,2.6,266.0,135.0,131.0,266.0,12.0,18.0,NSW,Newcastle-Maitland,Higher 
42414,Bald Blair Public School,Guyra,2365,Primary,Outer Regional,-30.2299,151.785,,Government,School Single Entity,Department of Education NSW,980.0,39.0,36.0,23.0,1.0,3.0,2.6,1.0,0.9,36.0,18.0,18.0,36.0,0.0,9.0,NSW,Oak Flats,Higher 
41065,Bald Face Public School,Blakehurst,2221,Primary,Major Cities,-33.9968,151.107,97,Government,School Single Entity,Department of Education NSW,1110.0,3.0,15.0,33.0,49.0,16.0,15.9,3.0,2.5,278.0,147.0,131.0,278.0,1.0,75.0,NSW,Guyra,Average
41248,Balgowlah Heights Public School,Balgowlah,2093,Primary,Major Cities,-33.8057,151.258,97,Government,School Single Entity,Department of Education NSW,1177.0,0.0,3.0,18.0,78.0,32.0,35.8,5.0,4.7,711.0,363.0,348.0,711.0,0.0,17.0,NSW,Sydney,Average
41269,Balgowlah North Public School,North Balgowlah,2093,Primary,Major Cities,-33.7833,151.246,95,Government,School Single Entity,Department of Education NSW,1143.0,1.0,8.0,25.0,66.0,25.0,28.9,6.0,4.1,568.0,265.0,303.0,568.0,1.0,11.0,NSW,Sydney,Average
40721,Lakes Grammar - An Anglican School,Warnervale,2259,Combined,Major Cities,-33.2424,151.444,93,Independent,School Single Entity,Association of Independent Schools of New South Wales,1065.0,9.0,25.0,37.0,29.0,74.0,65.3,27.0,23.5,917.0,456.0,461.0,917.0,4.0,10.0,NSW,Sydney,Average
42721,Balgownie Public School,Balgownie,2519,Primary,Major Cities,-34.387,150.872,94,Government,School Single Entity,Department of Education NSW,1078.0,12.0,19.0,31.0,38.0,18.0,18.2,5.0,2.9,333.0,162.0,171.0,333.0,3.0,18.0,NSW,Warnervale,Average
42941,Ballimore Public School,Ballimore,2830,Primary,Outer Regional,-32.1936,148.9,,Government,School Single Entity,Department of Education NSW,931.0,60.0,30.0,9.0,1.0,1.0,1.3,3.0,1.0,14.0,9.0,5.0,14.0,7.0,0.0,NSW,Wollongong City Council,Higher 
42139,Ballina Public School,Ballina,2478,Primary,Inner Regional,-28.8697,153.564,69,Government,School Single Entity,Department of Education NSW,843.0,71.0,22.0,5.0,2.0,17.0,23.0,5.0,4.7,280.0,135.0,145.0,280.0,42.0,7.0,NSW,None,Higher 
41130,Balmain Public School,Balmain,2041,Primary,Major Cities,-33.8592,151.183,99,Government,School Single Entity,Department of Education NSW,1169.0,1.0,5.0,18.0,75.0,18.0,19.4,4.0,2.9,379.0,189.0,190.0,379.0,1.0,34.0,NSW,Ballina,Average
42945,Binnaway Central School,Binnaway,2395,Combined,Outer Regional,-31.5528,149.375,,Government,School Single Entity,Department of Education NSW,792.0,87.0,13.0,1.0,0.0,7.0,8.6,4.0,3.5,53.0,28.0,25.0,53.0,30.0,5.0,NSW,Sydney,Lower
42140,Bangalow Public School,Bangalow,2479,Primary,Inner Regional,-28.6855,153.526,83,Government,School Single Entity,Department of Education NSW,1073.0,8.0,23.0,37.0,33.0,12.0,15.1,3.0,2.6,282.0,128.0,154.0,282.0,2.0,9.0,NSW,None,Average
